'uu_width','ud_width','us_width','ss_width'
0.511257, 0.968184, 0.846655, 1.04596
0.58587, 1.00664, 0.877484, 0.957118
0.609474, 1.14223, 0.986425, 0.945251
0.687563, 1.00784, 0.901575, 1.00306
0.551422, 0.980783, 0.79548, 1.05957
0.571437, 0.921693, 0.935251, 1.0414
0.529664, 0.996409, 0.729816, 1.07727
0.529664, 0.996409, 0.729816, 1.07727
0.60423, 0.980135, 0.855104, 1.0105
0.653628, 1.0027, 0.903527, 0.946537
0.572542, 1.03685, 0.912578, 1.04536
0.554242, 0.981762, 0.933532, 0.982483
0.671225, 0.957888, 0.954182, 1.04539
0.634854, 0.973519, 0.891443, 1.04241
0.657191, 1.05049, 0.896207, 1.01404
0.631972, 1.15154, 1.0563, 0.96354
0.593855, 1.07433, 0.922969, 0.920765
0.49816, 1.13708, 1.01646, 0.934469
0.500018, 1.23493, 0.944844, 1.05787
0.634881, 1.19852, 0.818784, 1.04277
0.594048, 1.1646, 0.91405, 1.00789
0.625281, 1.14545, 0.895642, 1.09054
0.580787, 1.31342, 0.91128, 1.06375
0.610251, 1.36243, 1.05073, 1.00754
0.56391, 1.38796, 1.19578, 0.905731
0.569776, 1.33421, 1.11285, 1.00837
0.577389, 1.39172, 1.06605, 0.92254
0.548539, 1.32614, 1.06415, 0.947014
0.534303, 1.37802, 1.03082, 0.985757
0.526156, 1.42709, 1.04738, 0.896363
0.526156, 1.42709, 1.04738, 0.896363
0.526754, 1.3991, 1.14187, 0.931279
0.555186, 1.45369, 1.06482, 0.944301
0.576739, 1.48555, 1.13225, 1.0209
0.62221, 1.4761, 1.1884, 0.949446
0.585026, 1.42901, 1.18932, 0.912037
0.585026, 1.42901, 1.18932, 0.912037
0.696798, 1.36383, 1.09591, 1.05392
0.582961, 1.27669, 1.12615, 0.995181
0.61125, 1.33225, 1.10417, 0.864202
0.615028, 1.32274, 1.20686, 0.862678
0.617148, 1.3516, 1.20805, 0.934926
0.624891, 1.37001, 1.15273, 0.920775
0.648763, 1.35267, 1.05666, 0.957827
0.528224, 1.2552, 1.05378, 0.942461
0.620059, 1.25695, 1.0086, 1.00092
0.596041, 1.24968, 1.07149, 0.917626
0.638236, 1.2578, 1.13096, 0.941543
0.66208, 1.24524, 1.11119, 0.861127
0.608956, 1.32456, 1.06121, 0.976758
0.621143, 1.42301, 0.929628, 1.01717
0.624283, 1.42886, 0.956046, 1.10452
0.62629, 1.47455, 1.02612, 1.15171
0.573586, 1.32202, 0.875064, 1.17322
0.52884, 1.36745, 0.948307, 1.05545
0.61508, 1.22074, 0.916395, 1.07181
0.591383, 1.23308, 0.932477, 1.13658
0.684684, 1.09581, 0.963464, 1.05313
0.667371, 1.11501, 1.0132, 1.05944
0.582782, 1.09429, 0.952201, 1.06078
0.53759, 1.13788, 0.973028, 1.05531
0.644266, 1.12614, 0.883778, 1.06616
0.643313, 0.998384, 0.970891, 0.954997
0.612808, 0.939439, 0.937532, 0.883658
0.629642, 1.03724, 0.945217, 0.934292
0.568044, 0.899808, 1.00024, 0.968632
0.667854, 0.984286, 0.978138, 0.881025
0.659538, 1.04743, 1.01383, 0.974045
0.655807, 0.959662, 0.967421, 0.937908
0.57767, 1.01339, 0.988154, 1.00993
0.63674, 1.10243, 0.851708, 1.07717
0.654625, 1.07141, 0.828432, 1.05245
0.650359, 1.09423, 0.817476, 1.0799
0.592852, 1.04765, 0.890609, 1.01863
0.59348, 1.22154, 1.05058, 0.999047
