'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_uu_g2','InvCoshPar_uu_g3','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_ud_g2','InvCoshPar_ud_g3','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_us_g2','InvCoshPar_us_g3','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1','InvCoshPar_ss_g2','InvCoshPar_ss_g3'
0.924198,0.144644,0.784485,0.405162,0.447488,0.470885,0.174216,0.769546,0.679617,0.168157,0.268528,0.231885,0.536201,0.148409,0.52462,0.761881,0.252985,0.780452,0.672282,0.19024
0.912659,0.104197,0.777699,0.384469,0.430401,0.482032,0.185713,0.752293,0.684455,0.17256,0.277026,0.242252,0.515026,0.172503,0.506356,0.757778,0.225419,0.785295,0.676848,0.189987
0.902129,0.0839367,0.78957,0.3627,0.414155,0.48695,0.189376,0.738472,0.689005,0.18044,0.271197,0.248891,0.515789,0.15845,0.513743,0.750226,0.2542,0.783929,0.660706,0.204587
0.895519,0.0918226,0.791439,0.35657,0.433192,0.471962,0.175362,0.743537,0.691146,0.19311,0.280208,0.255168,0.524195,0.153245,0.508713,0.741247,0.286728,0.79662,0.702284,0.192543
0.88446,0.115205,0.783152,0.411531,0.444672,0.43887,0.197448,0.760778,0.63895,0.198775,0.274202,0.271956,0.544157,0.165893,0.521159,0.741468,0.288597,0.782544,0.716615,0.197667
0.864906,0.115002,0.766816,0.404494,0.423226,0.440632,0.20009,0.70783,0.647655,0.204204,0.273666,0.317447,0.52509,0.132797,0.534222,0.717177,0.284775,0.823715,0.696075,0.198911
0.8819,0.098203,0.790015,0.401459,0.436793,0.423188,0.203959,0.687654,0.667785,0.213428,0.269423,0.284807,0.516353,0.154289,0.535091,0.741706,0.288218,0.805136,0.680088,0.216008
0.852741,0.106412,0.818183,0.392321,0.459986,0.420347,0.239464,0.734708,0.670972,0.247011,0.235931,0.288318,0.52911,0.197631,0.552942,0.763394,0.255354,0.801874,0.687537,0.206527
0.828768,0.131583,0.779102,0.39766,0.448978,0.415966,0.275397,0.722845,0.670333,0.228135,0.208459,0.27722,0.549821,0.215208,0.592133,0.764356,0.257573,0.817635,0.710301,0.198749
0.821493,0.124904,0.779217,0.396497,0.467365,0.425667,0.246967,0.724087,0.671096,0.236707,0.212647,0.286284,0.556495,0.208263,0.593721,0.77185,0.25727,0.807387,0.693917,0.204058
0.783475,0.099775,0.77619,0.421433,0.460382,0.447077,0.242827,0.713454,0.672035,0.215479,0.239465,0.291134,0.530488,0.194057,0.597548,0.742014,0.243684,0.805115,0.707154,0.220352
0.809504,0.0611483,0.772854,0.441216,0.392463,0.45129,0.269236,0.758922,0.670137,0.205306,0.2179,0.314711,0.5308,0.201038,0.549491,0.715411,0.280701,0.807447,0.735033,0.201912
0.785714,0.0820322,0.790023,0.412426,0.393862,0.434299,0.269141,0.747108,0.680142,0.219169,0.245797,0.280878,0.512489,0.203435,0.53911,0.721684,0.275131,0.777815,0.728418,0.216928
0.800088,0.0729363,0.786596,0.423016,0.418943,0.4393,0.27104,0.742342,0.676466,0.219956,0.213298,0.253027,0.513234,0.198236,0.532846,0.749906,0.277916,0.772084,0.714528,0.225183
0.7915,0.0733602,0.783933,0.451899,0.412955,0.445909,0.263127,0.728662,0.6832,0.236209,0.206902,0.285192,0.527767,0.172686,0.54849,0.748311,0.276285,0.794596,0.710565,0.232402
0.777592,0.0922293,0.778639,0.458091,0.4115,0.440019,0.24438,0.698207,0.696261,0.222471,0.229441,0.288746,0.50506,0.189179,0.560568,0.75153,0.287058,0.800343,0.70847,0.230266
0.765214,0.116387,0.766025,0.497248,0.419047,0.475273,0.253648,0.697938,0.70688,0.252975,0.2312,0.308025,0.538073,0.206465,0.521838,0.771801,0.305188,0.817172,0.691174,0.2898
