'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.917004,0.894644,1.00951,0.717438
0.849488,0.838521,1.06549,0.709277
0.876021,0.759863,1.01789,0.701069
0.817642,0.775991,1.03202,0.675708
0.776882,0.862693,0.984819,0.668673
0.810471,0.851008,0.964776,0.670965
0.772504,0.811927,0.946923,0.64259
0.785663,0.828438,0.985368,0.665802
0.75713,0.806297,0.894746,0.623171
0.776457,0.808974,0.951044,0.652774
0.773304,0.822142,0.977343,0.648343
0.844202,0.808175,0.991293,0.693407
0.817152,0.834431,0.978682,0.703781
0.801396,0.88088,0.998862,0.703643
0.819291,0.948579,0.961,0.711758
0.819007,0.937108,0.920535,0.746169
0.831075,0.91939,0.949263,0.73041
0.778555,0.902244,0.961675,0.677353
0.789709,0.923813,0.982695,0.651675
0.77761,0.976164,0.97639,0.705578
0.795285,1.02266,0.923947,0.699868
0.79716,1.02626,0.858118,0.720328
0.74237,1.05414,0.833835,0.682931
0.756328,1.03988,0.838181,0.679213
0.756328,1.03988,0.838181,0.679213
0.742957,0.940604,0.830706,0.683443
0.764642,0.912905,0.828483,0.658497
0.7446,0.892683,0.815257,0.646811
0.763036,0.858225,0.83371,0.647808
0.778752,0.858233,0.841752,0.703892
0.755857,0.80445,0.83388,0.68621
0.786075,0.759496,0.85112,0.680984
0.789679,0.769729,0.929916,0.671392
0.757867,0.778813,0.907645,0.625403
0.775743,0.877868,0.847905,0.665629
0.775743,0.877868,0.847905,0.665629
0.794104,0.848566,0.891782,0.690778
0.801311,0.792536,0.872422,0.691436
0.8099,0.8247,0.844315,0.719799
0.764098,0.810855,0.834718,0.687524
0.752213,0.827921,0.767529,0.685655
0.741419,0.814456,0.782404,0.682673
0.7566,0.79196,0.811805,0.656709
0.753945,0.805762,0.79711,0.666868
0.757841,0.830986,0.841957,0.683774
0.793115,0.816393,0.925884,0.67304
0.777053,0.775574,0.893856,0.670475
0.794623,0.77451,0.895487,0.64693
0.804718,0.77328,0.899981,0.656075
0.804118,0.746528,0.897548,0.653522
0.805283,0.716476,0.872896,0.643811
0.776331,0.768076,0.81291,0.657949
0.777792,0.795682,0.793097,0.737877
0.777792,0.795682,0.793097,0.737877
0.777792,0.795682,0.793097,0.737877
