'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.694586,1.69092,1.47214,1.18809
0.729657,1.70188,1.45861,1.19133
0.723533,1.70254,1.50443,1.19112
0.725015,1.70047,1.50159,1.15386
0.732406,1.72706,1.5044,1.14359
0.719957,1.76448,1.49404,1.16925
0.735186,1.77196,1.48651,1.15201
0.698161,1.80595,1.51018,1.22038
0.695413,1.79362,1.53574,1.20978
0.718011,1.80906,1.52662,1.17705
0.733815,1.82608,1.53365,1.1569
0.739599,1.85826,1.55273,1.12643
0.743234,1.81418,1.54374,1.14909
0.703763,1.78443,1.4968,1.24477
0.709253,1.7451,1.53047,1.24229
0.704621,1.72213,1.45312,1.21754
0.702384,1.71651,1.43416,1.25376
0.746268,1.72468,1.36966,1.27298
0.722527,1.7307,1.32359,1.33548
0.738884,1.72094,1.3512,1.34336
0.724911,1.74256,1.39748,1.30836
0.713481,1.73965,1.33665,1.32677
0.732086,1.73285,1.28896,1.31487
0.710443,1.733,1.34722,1.31776
0.741884,1.75575,1.31261,1.31845
0.712376,1.69309,1.26185,1.33421
0.717795,1.69863,1.25623,1.30496
0.717795,1.69863,1.25623,1.30496
0.734868,1.71073,1.23921,1.30945
0.731052,1.68242,1.26818,1.29538
0.723208,1.70241,1.2909,1.29635
0.734711,1.75535,1.25713,1.28606
0.734711,1.75535,1.25713,1.28606
0.738795,1.75308,1.22484,1.3786
0.75273,1.77223,1.24178,1.29095
0.781651,1.76983,1.27214,1.28511
0.771222,1.70658,1.24837,1.23516
0.7726,1.69904,1.26831,1.23224
0.758719,1.71233,1.25938,1.23338
0.764776,1.68695,1.17463,1.24214
0.777559,1.66498,1.187,1.23008
0.728454,1.64669,1.2563,1.28051
0.71147,1.60115,1.26827,1.29765
0.71156,1.56325,1.23682,1.25821
0.745749,1.58448,1.21986,1.22598
0.749015,1.61355,1.20871,1.21135
0.772573,1.58083,1.20094,1.25046
0.748176,1.63047,1.15942,1.22084
0.769571,1.60822,1.12838,1.25088
0.760986,1.60242,1.14139,1.2518
0.747074,1.54752,1.13489,1.24885
0.725578,1.58702,1.12641,1.31769
0.725621,1.60126,1.14204,1.28315
0.772088,1.53661,1.09648,1.27644
0.770549,1.52446,1.07604,1.20353
0.767981,1.49162,1.04274,1.18793
0.769363,1.39548,1.07617,1.25081
0.763798,1.42628,1.04155,1.24795
0.796857,1.43823,0.972875,1.16776
0.830001,1.49482,0.949351,1.13888
0.811608,1.44513,0.875624,1.20151
0.784208,1.46762,0.907526,1.20192
0.809838,1.44157,0.922852,1.17935
0.796538,1.42162,0.966682,1.20007
0.755566,1.45875,0.932133,1.31223
0.742215,1.47414,0.923612,1.33167
0.743885,1.49529,0.944333,1.3044
0.750188,1.47602,0.955959,1.32003
0.734128,1.48324,0.967255,1.32271
0.758655,1.45483,0.948655,1.33468
0.778916,1.48476,0.861161,1.26119
0.776854,1.52178,0.818551,1.24187
0.717168,1.53128,0.762919,1.30163
0.706421,1.44135,0.801999,1.34865
0.732695,1.49324,0.735366,1.36818
0.727662,1.5222,0.763602,1.3605
0.728219,1.46748,0.75197,1.29049
0.764726,1.44898,0.708868,1.24803
0.702988,1.44952,0.637746,1.23946
0.733349,1.44615,0.649488,1.29975
0.715661,1.44592,0.654697,1.27619
0.705707,1.53413,0.66022,1.32831
0.716985,1.52808,0.681665,1.35882
0.717227,1.5367,0.701253,1.29034
0.742142,1.47104,0.663504,1.26599
0.706502,1.42287,0.641714,1.26127
0.74051,1.36461,0.703076,1.25936
0.708658,1.34828,0.694344,1.28191
0.689585,1.38055,0.643199,1.32692
0.689585,1.38055,0.643199,1.32692
0.691894,1.39394,0.646415,1.31501
0.689624,1.3536,0.661718,1.32107
0.687071,1.30715,0.658218,1.34094
0.668082,1.28947,0.636592,1.32767
0.668082,1.28947,0.636592,1.32767
0.660905,1.31874,0.597549,1.31523
0.670158,1.34677,0.583091,1.29654
0.65176,1.30405,0.590787,1.30721
0.675117,1.29483,0.587229,1.29861
0.666522,1.3175,0.597091,1.32733
0.707075,1.3089,0.660133,1.29681
0.690267,1.33528,0.604294,1.27527
0.680445,1.33732,0.619081,1.24911
0.721641,1.3844,0.724788,1.28925
0.708215,1.37426,0.719664,1.31732
0.710752,1.3705,0.70992,1.30899
0.771652,1.4527,0.750468,1.21733
0.749547,1.42575,0.76453,1.23329
0.775069,1.42864,0.776919,1.23894
0.788678,1.45483,0.806554,1.21612
0.787239,1.4785,0.816161,1.22651
0.761952,1.45476,0.829067,1.28011
0.772154,1.46391,0.836426,1.25472
0.773772,1.45768,0.796163,1.24764
0.766325,1.53813,0.918676,1.23112
0.771318,1.53335,0.985427,1.21119
0.799894,1.52572,1.01617,1.17179
0.777999,1.4394,0.994,1.20603
0.751017,1.42473,1.02313,1.18937
0.787674,1.4178,1.04003,1.13328
0.777521,1.48867,1.03552,1.18925
0.77848,1.51901,0.963094,1.18411
0.801132,1.55501,0.996492,1.1669
0.807276,1.49713,1.00576,1.17822
0.795697,1.41943,0.964467,1.19899
0.79071,1.51007,0.998716,1.17732
0.775949,1.48357,1.00977,1.19098
