'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0'
0.33684,0.7474,1.56254,0.625758,0.549163,-0.884949,1.70215,0.708535
0.337802,0.742397,1.55854,0.618327,0.541594,-0.88357,1.70771,0.700892
0.343397,0.746975,1.55114,0.633079,0.545532,-0.87856,1.70564,0.699369
0.346154,0.740832,1.56072,0.632499,0.548297,-0.858086,1.69478,0.705258
0.340236,0.736563,1.55942,0.64333,0.552056,-0.868503,1.69064,0.706293
0.337681,0.732196,1.54569,0.656491,0.565213,-0.843973,1.69318,0.712642
0.326548,0.734722,1.53851,0.651786,0.563318,-0.828249,1.7046,0.6995
0.34591,0.747136,1.54691,0.64033,0.580662,-0.845509,1.69916,0.700006
0.344057,0.739136,1.54384,0.636858,0.577147,-0.837305,1.69502,0.696459
0.347853,0.751487,1.54183,0.643182,0.582908,-0.833941,1.68703,0.699943
0.345477,0.766258,1.5401,0.624894,0.583925,-0.819283,1.69269,0.691686
0.346381,0.766165,1.537,0.628531,0.589291,-0.809306,1.69313,0.676606
0.363877,0.767168,1.52741,0.630684,0.594177,-0.824763,1.67988,0.679114
0.371783,0.779363,1.50849,0.613739,0.605309,-0.826827,1.66575,0.652908
0.351339,0.792142,1.52581,0.628656,0.586281,-0.832043,1.66353,0.646447
0.35767,0.790834,1.52005,0.644363,0.595803,-0.828324,1.65917,0.646635
0.348881,0.793727,1.52412,0.650685,0.595217,-0.848506,1.66048,0.650012
0.358421,0.789726,1.5308,0.662411,0.575834,-0.832051,1.64892,0.651862
0.361825,0.791182,1.51835,0.678753,0.581608,-0.843454,1.63776,0.658975
0.359565,0.789728,1.51482,0.692406,0.583847,-0.842056,1.64636,0.653808
0.33462,0.783949,1.51683,0.661434,0.576197,-0.843575,1.66363,0.661782
0.345145,0.788949,1.50801,0.665615,0.578069,-0.854512,1.67316,0.664277
0.356348,0.7913,1.51656,0.671105,0.580569,-0.857877,1.67919,0.676601
0.356348,0.7913,1.51656,0.671105,0.580569,-0.857877,1.67919,0.676601
0.373506,0.797452,1.52704,0.649066,0.607169,-0.866454,1.68211,0.665688
0.359015,0.800286,1.51722,0.65992,0.597496,-0.869149,1.67301,0.652696
0.363857,0.801336,1.50262,0.646111,0.59681,-0.861662,1.67738,0.650573
0.383484,0.798676,1.49614,0.614212,0.601744,-0.856946,1.69761,0.657926
0.380931,0.811333,1.47805,0.605904,0.6018,-0.858497,1.69194,0.657025
0.364704,0.810356,1.47716,0.604961,0.609375,-0.866848,1.68274,0.655308
0.349894,0.799852,1.4982,0.602817,0.609394,-0.862498,1.68511,0.673917
0.335746,0.797426,1.48082,0.619853,0.599976,-0.847946,1.69876,0.686577
0.336683,0.800707,1.48093,0.607512,0.594971,-0.830542,1.69491,0.701908
0.337593,0.800924,1.47453,0.610529,0.598582,-0.830908,1.70779,0.707126
0.334494,0.801318,1.48103,0.615655,0.589003,-0.842534,1.72319,0.692521
0.34928,0.797309,1.4759,0.626936,0.584959,-0.846475,1.70776,0.691765
0.354612,0.790009,1.49352,0.622872,0.584313,-0.842471,1.71486,0.683077
0.345429,0.765254,1.50733,0.622975,0.599293,-0.838092,1.71817,0.687742
0.343769,0.766885,1.52486,0.626065,0.592405,-0.835027,1.71671,0.691624
0.354486,0.766838,1.52739,0.646864,0.608028,-0.820917,1.71424,0.683334
0.358707,0.786043,1.51174,0.627246,0.612681,-0.813518,1.70423,0.689348
0.36316,0.783605,1.51628,0.632434,0.60291,-0.815835,1.70417,0.685825
0.358134,0.782115,1.5318,0.62766,0.600453,-0.810626,1.69832,0.687199
0.364292,0.783752,1.53054,0.640109,0.595625,-0.80999,1.71341,0.704288
0.350189,0.779395,1.53736,0.63985,0.606682,-0.808199,1.71877,0.690289
0.364675,0.775554,1.52993,0.642225,0.617708,-0.824477,1.71986,0.698792
0.361459,0.777145,1.51595,0.642079,0.61083,-0.825696,1.72673,0.702229
0.368109,0.775412,1.51711,0.650166,0.602686,-0.823238,1.71644,0.705478
0.367433,0.783121,1.519,0.636175,0.595473,-0.832135,1.72548,0.714806
0.368225,0.779106,1.52765,0.643314,0.58583,-0.826107,1.71707,0.697662
0.357889,0.769291,1.5274,0.640741,0.590735,-0.814817,1.71925,0.701038
0.348632,0.778412,1.52486,0.639066,0.591152,-0.804565,1.72429,0.705655
0.344944,0.771562,1.52072,0.646546,0.590404,-0.802681,1.72186,0.711684
0.3551,0.761157,1.52419,0.636731,0.600352,-0.819962,1.7344,0.719762
0.348586,0.761627,1.51816,0.640145,0.587931,-0.819901,1.73155,0.72797
0.336982,0.763554,1.51035,0.631988,0.593159,-0.82886,1.7241,0.713819
