'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
1.25538,-0.0574041,1.59406,1.5022
1.25538,-0.0574041,1.59406,1.5022
1.25538,-0.0574041,1.59406,1.5022
1.22733,-0.126417,1.51519,1.51554
1.05927,-0.138199,1.48147,1.50674
0.98375,-0.307482,1.60304,1.41682
0.98813,-0.328678,1.60264,1.43934
0.986851,-0.420523,1.58919,1.41164
0.986851,-0.420523,1.58919,1.41164
0.986851,-0.420523,1.58919,1.41164
0.97587,-0.373176,1.52841,1.35335
0.97587,-0.373176,1.52841,1.35335
0.97587,-0.373176,1.52841,1.35335
0.97587,-0.373176,1.52841,1.35335
1.02294,-0.408623,1.54791,1.28882
0.963552,-0.287957,1.56907,1.35205
1.05929,-0.240686,1.47904,1.24289
1.05929,-0.240686,1.47904,1.24289
1.05929,-0.240686,1.47904,1.24289
1.05929,-0.240686,1.47904,1.24289
1.05929,-0.240686,1.47904,1.24289
1.05929,-0.240686,1.47904,1.24289
1.05929,-0.240686,1.47904,1.24289
0.956631,-0.117272,1.53597,1.30194
0.956631,-0.117272,1.53597,1.30194
0.956631,-0.117272,1.53597,1.30194
1.11753,-0.223638,1.63984,1.47767
1.11753,-0.223638,1.63984,1.47767
1.11753,-0.223638,1.63984,1.47767
1.11753,-0.223638,1.63984,1.47767
1.11753,-0.223638,1.63984,1.47767
1.11753,-0.223638,1.63984,1.47767
1.08838,-0.316938,1.68769,1.38304
1.0516,-0.395995,1.69279,1.4648
1.0516,-0.395995,1.69279,1.4648
1.16603,-0.488671,1.66976,1.52405
1.20103,-0.394496,1.6606,1.55517
1.3072,-0.447063,1.6885,1.50233
1.25726,-0.393851,1.6952,1.66735
1.23391,-0.46571,1.59025,1.63587
1.31245,-0.430244,1.66814,1.55789
1.31245,-0.430244,1.66814,1.55789
1.31245,-0.430244,1.66814,1.55789
1.23887,-0.454121,1.69635,1.47984
1.23887,-0.454121,1.69635,1.47984
1.32229,-0.310401,1.69634,1.55062
1.32229,-0.310401,1.69634,1.55062
1.32229,-0.310401,1.69634,1.55062
1.29734,-0.326172,1.62855,1.50144
